image_path,label
data/processed/bus/MVI_40732_f01439_887_226.jpg,bus
data/processed/background/bg_MVI_40991_img00121_0_412.jpg,background
data/processed/bus/MVI_20052_f00542_414_8.jpg,bus
data/processed/background/bg_MVI_20032_img00141_832_412.jpg,background
data/processed/background/bg_MVI_40892_img00041_0_0.jpg,background
data/processed/bus/MVI_39851_f01280_1_106.jpg,bus
data/processed/car/MVI_40204_f00504_365_234.jpg,car
data/processed/truck/MVI_40752_f00643_705_126.jpg,truck
data/processed/car/MVI_63521_f00173_288_69.jpg,car
data/processed/truck/MVI_40204_f00998_198_220.jpg,truck
data/processed/truck/MVI_40241_f00037_633_166.jpg,truck
data/processed/bus/MVI_40752_f01626_663_114.jpg,bus
data/processed/bus/MVI_40162_f01133_1_147.jpg,bus
data/processed/bus/MVI_63521_f00049_770_1.jpg,bus
data/processed/bus/MVI_40732_f00098_776_313.jpg,bus
data/processed/background/bg_MVI_63563_img00601_832_412.jpg,background
data/processed/car/MVI_40161_f00991_168_202.jpg,car
data/processed/bus/MVI_20034_f00491_598_40.jpg,bus
data/processed/bus/MVI_40181_f01303_313_1.jpg,bus
data/processed/background/bg_MVI_40201_img00301_0_412.jpg,background
data/processed/background/bg_MVI_40992_img01001_0_412.jpg,background
data/processed/truck/MVI_40191_f00675_723_187.jpg,truck
data/processed/background/bg_MVI_40991_img00721_832_0.jpg,background
data/processed/bus/MVI_20063_f00140_308_106.jpg,bus
data/processed/bus/MVI_39781_f01327_617_56.jpg,bus
data/processed/car/MVI_40243_f01058_379_401.jpg,car
data/processed/bus/MVI_63521_f00347_738_1.jpg,bus
data/processed/background/bg_MVI_39031_img00781_832_0.jpg,background
data/processed/bus/MVI_63521_f00444_835_1.jpg,bus
data/processed/truck/MVI_40241_f00020_415_312.jpg,truck
data/processed/bus/MVI_40161_f00228_337_44.jpg,bus
data/processed/bus/MVI_20052_f00381_412_13.jpg,bus
data/processed/bus/MVI_40161_f00182_330_43.jpg,bus
data/processed/bus/MVI_20012_f00270_350_117.jpg,bus
data/processed/bus/MVI_39781_f01395_623_61.jpg,bus
data/processed/bus/MVI_40732_f00968_633_366.jpg,bus
data/processed/bus/MVI_63521_f00018_768_1.jpg,bus
data/processed/car/MVI_40191_f00959_120_179.jpg,car
data/processed/background/bg_MVI_39781_img01041_0_0.jpg,background
data/processed/bus/MVI_40751_f00864_1_308.jpg,bus
data/processed/bus/MVI_63521_f00568_826_1.jpg,bus
data/processed/truck/MVI_40241_f00314_610_198.jpg,truck
data/processed/background/bg_MVI_40241_img00281_0_412.jpg,background
data/processed/bus/MVI_20012_f00440_338_123.jpg,bus
data/processed/bus/MVI_40732_f01593_1_353.jpg,bus
data/processed/truck/MVI_40162_f01232_558_166.jpg,truck
data/processed/car/MVI_40732_f01989_42_353.jpg,car
data/processed/truck/MVI_20011_f00580_841_354.jpg,truck
data/processed/bus/MVI_40204_f00657_51_11.jpg,bus
data/processed/bus/MVI_40751_f00764_1_304.jpg,bus
data/processed/car/MVI_20034_f00347_805_343.jpg,car
data/processed/bus/MVI_20034_f00292_838_139.jpg,bus
data/processed/bus/MVI_40732_f01527_443_271.jpg,bus
data/processed/bus/MVI_40131_f00936_1_186.jpg,bus
data/processed/bus/MVI_40131_f00863_1_178.jpg,bus
data/processed/background/bg_MVI_40855_img00401_0_0.jpg,background
data/processed/background/bg_MVI_40141_img00541_0_0.jpg,background
data/processed/truck/MVI_40732_f00971_1_256.jpg,truck
data/processed/truck/MVI_40211_f00672_43_124.jpg,truck
data/processed/background/bg_MVI_40852_img00861_832_0.jpg,background
data/processed/car/MVI_40181_f00297_1_260.jpg,car
data/processed/background/bg_MVI_20034_img00701_0_0.jpg,background
data/processed/bus/MVI_39771_f00089_676_161.jpg,bus
data/processed/bus/MVI_39781_f01492_70_101.jpg,bus
data/processed/car/MVI_40131_f00215_1_425.jpg,car
data/processed/background/bg_MVI_63563_img00521_0_0.jpg,background
data/processed/car/MVI_40241_f01787_736_231.jpg,car
data/processed/bus/MVI_20063_f00497_308_110.jpg,bus
data/processed/bus/MVI_40131_f00619_796_154.jpg,bus
data/processed/background/bg_MVI_40161_img01441_832_0.jpg,background
data/processed/bus/MVI_39781_f01182_818_95.jpg,bus
data/processed/truck/MVI_63562_f00391_794_138.jpg,truck
data/processed/bus/MVI_40752_f00792_1_341.jpg,bus
data/processed/truck/MVI_40204_f00391_331_117.jpg,truck
data/processed/bus/MVI_63521_f01563_797_1.jpg,bus
data/processed/truck/MVI_40201_f00824_566_305.jpg,truck
data/processed/truck/MVI_63521_f01261_765_202.jpg,truck
data/processed/car/MVI_40204_f00339_1_194.jpg,car
data/processed/car/MVI_40732_f01799_405_363.jpg,car
data/processed/car/MVI_40211_f00904_197_173.jpg,car
data/processed/background/bg_MVI_40855_img00041_0_0.jpg,background
data/processed/bus/MVI_20012_f00534_429_16.jpg,bus
data/processed/bus/MVI_20034_f00097_837_139.jpg,bus
data/processed/truck/MVI_63552_f00783_192_263.jpg,truck
data/processed/car/MVI_63552_f00704_625_216.jpg,car
data/processed/bus/MVI_20034_f00315_836_138.jpg,bus
data/processed/truck/MVI_40191_f01986_102_248.jpg,truck
data/processed/truck/MVI_40241_f01773_211_312.jpg,truck
data/processed/truck/MVI_63521_f01285_694_87.jpg,truck
data/processed/bus/MVI_40981_f01080_139_49.jpg,bus
data/processed/car/MVI_40152_f00324_333_405.jpg,car
data/processed/truck/MVI_40241_f00681_1_194.jpg,truck
data/processed/background/bg_MVI_40181_img00361_832_412.jpg,background
data/processed/background/bg_MVI_39311_img00921_832_412.jpg,background
data/processed/background/bg_MVI_40742_img00781_0_412.jpg,background
data/processed/car/MVI_40181_f01607_505_83.jpg,car
data/processed/bus/MVI_20012_f00165_351_123.jpg,bus
data/processed/bus/MVI_39781_f01521_359_35.jpg,bus
data/processed/car/MVI_20035_f00518_189_316.jpg,car
